elapsed_s,tag_hex_id,position_x,position_y,yaw_map
17.461,0xC0,0.1298,0.1,350.38
17.465,0xC0,0.1117,0.1,350.38
17.468,0xC0,0.0953,0.1,350.38
17.511,0xC0,0.0807,0.1,350.38
17.513,0xC0,0.0609,0.1,350.38
17.518,0xC0,0.0438,0.1,350.38
17.564,0xC0,0.0272,0.1,350.56
17.568,0xC0,0.0129,0.1,350.56
17.571,0xC0,0.0017,0.1,350.56
17.573,0xC0,0.1,0.1,350.56
18.378,0xC0,0.0129,0.1,352.31
18.381,0xC0,0.0289,0.1,352.31
18.429,0xC0,0.0527,0.1,352.31
18.583,0xC0,0.1053,0.1,352.25
18.588,0xC0,0.1135,0.1,352.25
18.593,0xC0,0.1192,0.1,352.25
18.596,0xC0,0.1459,0.1,352.25
18.601,0xC0,0.1671,0.1,352.25
18.605,0xC0,0.1845,0.1,352.25
18.61,0xC0,0.1916,0.1,352.25
18.612,0xC0,0.2021,0.1,352.25
18.616,0xC0,0.2124,0.1,352.25
18.618,0xC0,0.218,0.1,352.25
18.628,0xC0,0.2253,0.1,352.25
18.63,0xC0,0.2305,0.1,352.25
18.747,0xC0,0.2848,0.1,353.44
18.888,0xC0,0.3345,0.1,353.62
18.89,0xC0,0.3256,0.1,353.62
18.894,0xC0,0.3206,0.1,353.62
18.897,0xC0,0.3173,0.1,353.62
18.9,0xC0,0.3013,0.1,353.62
18.989,0xC0,0.3106,0.1,353.62
18.991,0xC0,0.3003,0.1,353.62
18.994,0xC0,0.2934,0.1,353.62
18.997,0xC0,0.3158,0.1,353.62
19.001,0xC0,0.3358,0.1,353.62
19.004,0xC0,0.349,0.1,353.62
19.046,0xC0,0.3632,0.1,353.62
19.05,0xC0,0.3615,0.1,353.62
19.055,0xC0,0.3581,0.1,353.62
19.057,0xC0,0.3524,0.1,353.62
19.06,0xC0,0.3531,0.1,353.62
19.063,0xC0,0.3533,0.1,353.62
19.067,0xC0,0.3538,0.1,353.62
19.196,0xC0,0.3871,0.1,354.44
19.199,0xC0,0.3683,0.1,354.44
19.203,0xC0,0.3524,0.1,354.44
19.206,0xC0,0.3382,0.1,354.44
19.21,0xC0,0.323,0.1,354.44
19.212,0xC0,0.3097,0.1,354.44
19.244,0xC0,0.2774,0.1,354.44
19.296,0xC0,0.2245,0.1,354.44
19.3,0xC0,0.1759,0.1,354.44
19.594,0xC0,0.123,0.1,354.44
19.641,0xC0,0.1535,0.1,354.44
19.644,0xC0,0.1868,0.1,354.44
19.647,0xC0,0.2291,0.1,354.44
19.649,0xC0,0.2603,0.1,354.44
19.652,0xC0,0.2844,0.1,354.44
19.688,0xC0,0.3016,0.1,354.31
19.692,0xC0,0.3093,0.1,354.31
19.696,0xC0,0.3162,0.1,354.31
19.699,0xC0,0.3265,0.1,354.31
19.736,0xC0,0.3513,0.1,354.38
19.783,0xC0,0.3635,0.1,354.38
19.785,0xC0,0.3524,0.1,354.38
19.789,0xC0,0.3192,0.1,354.38
19.791,0xC0,0.2809,0.1,354.38
19.796,0xC0,0.2487,0.1,354.38
19.8,0xC0,0.2149,0.1,354.38
19.839,0xC0,0.1694,0.1,354.56
19.894,0xC0,0.1117,0.1,354.75
19.896,0xC0,0.0741,0.1,354.75
19.946,0xC0,0.0363,0.1,354.94
19.95,0xC0,0.0239,0.1,354.94
19.958,0xC0,0.0125,0.1,354.94
20.023,0xC0,0.1,0.1,355.0
20.271,0xC0,0.1,0.0393,354.56
20.275,0xC0,0.1,0.0422,354.56
20.28,0xC0,0.1,0.0444,354.56
20.285,0xC0,0.1,0.0469,354.56
20.289,0xC0,0.1,0.0484,354.56
20.292,0xC0,0.1,0.0509,354.56
20.319,0xC0,0.1,0.0682,354.56
20.323,0xC0,0.1,0.0694,354.56
20.328,0xC0,0.1,0.0713,354.56
